created_at,id,text,keyword,url,author_username,like_count,comment_count,share_count,source,scraped_at_utc
1771685217,3837496196605384497,"Hi ! Bruneians, just want to remind you all..if kan mau vacations masa ani, please pakai mask n get vaccinated, penyakit TB ani bukan nya di buat main-me as an ex TB (tuberculosis) eight years ago, i was just a 15 years old during the time i got TB— sakit? yes, barat badan turun mengajut, inda nyaman tidur apa- if batuk atu batah, labih dari tiga minggu, batuk bekahak or bedarah, baiktah di bawa ke clinic nearby, bahaya tu kalau di biarkan! so please! pakai mask! stay healthy ! and stay safe !",tuberculosis,https://www.threads.com/@spanish_rolllatte/post/DVBhnV5k5cx,spanish_rolllatte,293,,61.0,threads,2026-03-03 05:30:48 UTC
1771808570,3838530957364636095,Me when I see tuberculosis shirts and jerseys in the Unrivaled stands:,tuberculosis,https://www.threads.com/@maddie_winter46/post/DVFM5F9Dym_,maddie_winter46,24,,0.0,threads,2026-03-03 05:30:50 UTC
1771217768,3833574951131618974,BREAKING: 503 new TB (Tuberculosis) cases recorded in Malaysia. Wear face mask and practice social distancing in crowded places. Take care everyone 😷🦠,tuberculosis,https://www.threads.com/@initial.irene/post/DUzmBteCR6e,initial.irene,903,,258.0,threads,2026-03-03 05:30:51 UTC
1769923006,3822713706929986684,"1/3 An investigation into the illegal Reedley Biolab uncovered a warehouse containing 20+ infectious agents like HIV, Tuberculosis, and Malaria. Officials also found a freezer labeled ""Ebola,"" one of the world's deadliest viruses, stored without proper safety protocols.",tuberculosis,https://www.threads.com/@yersocialistdad/post/DUNAdzjlBx8,yersocialistdad,1969,,116.0,threads,2026-03-03 05:30:57 UTC
1772123015,3841168714230736556,"Kansas is invalidating trans driver’s licenses this week. Meanwhile, 1 in 5 kids in Kansas face hunger or unreliable access to food, and they’re having a tuberculosis outbreak. Conservatives scapegoat queer people so they don’t have to solve actual problems",tuberculosis,https://www.threads.com/@berecker/post/DVOkpgeESas,berecker,1360,,206.0,threads,2026-03-03 05:30:59 UTC
1771245374,3833806531708340792,"Emily Brontë's mother died when she was only three years old. Emily's two older sisters died in childhood, literally before her eyes. Her brother was an alcoholic and drug addict who tormented the family his entire life. Emily Brontë herself died at age 30 from tuberculosis, burning to death within three months. And yet, this film adaptation is the worst thing that happened to her.",tuberculosis,https://www.threads.com/@that.one.bookish.bestie/post/DU0arpsDEo4,that.one.bookish.bestie,1977,,104.0,threads,2026-03-03 05:31:02 UTC
1771161035,3833099045636631459,"Tuberculosis is all over the Malaysian news again. But here’s the truth most people don’t realise. TB never left. Malaysia records ~26k TB cases every year. Sabah carries one of the highest burdens and being here for the last 8 years, Ive seen tb in its many forms, from the common tb in lungs to tb in marrow, eye, even genitals. This isn’t a sudden outbreak, it’s a persistent, slow burn epidemic that has been with us for decades. The screening is way more effective now.",tuberculosis,https://www.threads.com/@arjnkmr/post/DUx50X8D2uj,arjnkmr,125,,41.0,threads,2026-03-03 05:31:06 UTC
1770725701,3829447196526498262,"Korang sedar tak sekarang Malaysia ada few clusters of tuberculosis (TB)? Start with Johor cases, and now reported more than 10 new clusters in Selangor. BCG vaccine yang kita semua dapat masa baby dulu (yang ada parut kat bahu kiri tu) actually is to reduce severe complications of TB, especially in kids. But it doesn’t fully prevent the infection. Once someone got active TB, they need to be: isolated and go through long-term treatment (months)",tuberculosis,https://www.threads.com/@aqlyatull_mrdhiaah/post/DUk7e-bE9HW,aqlyatull_mrdhiaah,594,,223.0,threads,2026-03-03 05:31:10 UTC
1771993797,3840084758126990632,"Tuberculosis (TB in children) ⁉️ Bila nak syaki jangkitan TB di kanak-kanak? Banyak parents dah stress, terutamanya anak batuk x baik-baik... 😅 ""Takut sangatlah doktor, banyak kes dan cerita TB.."" Jadi, kanak-kanak memang berisiko dapat TB ke? Dan apa cara untuk elakkan jangkitan? Jom..",tuberculosis,https://www.threads.com/@drtehwaibin_paeds/post/DVKuL3rjRUo,drtehwaibin_paeds,185,,83.0,threads,2026-03-03 05:31:11 UTC
1770462814,3827241942271243897,"Emily Brontë did not write her one and only (gothic horror) novel, scare the crap out of everyone who read it first, influence the canon of English Literature forever and then die of tuberculosis a year later at the age of just 30 for people to be saying ""it is just a book."" It's never just a book. She had to publish under a man's name for Wuthering Heights to ever see the cold light of day.",tuberculosis,https://www.threads.com/@samambulations/post/DUdGETWjbZ5,samambulations,1365,,90.0,threads,2026-03-03 05:31:13 UTC
1752951043,3680342557143483666,"I just finished reading “Everything is Tuberculosis” by John Green, and it’s fabulous. Everyone should read it, but health care workers especially. The history itself is so well told, but I found so many things to be applicable outside of Tb. A few examples: 1/🧵",tuberculosis,https://www.threads.com/@yourschoolrn/post/DMTNA5ySkUS,yourschoolrn,743,,37.0,threads,2026-03-03 05:31:16 UTC
1769880840,3822359993631297165,"In April of 2009, Bill Gates was in China for a $33 million partnership between the Bill & Melinda Gates foundation and China's Ministry of Health to combat tuberculosis.",tuberculosis,https://www.threads.com/@semaj_the_guy/post/DULwCmYDs6N,semaj_the_guy,324,,44.0,threads,2026-03-03 05:31:19 UTC
1771433467,3835384369213756237,Now its gonna be Tuberculosis ...i bet that too has mRNA technology,tuberculosis,https://www.threads.com/@cikgu_permata62/post/DU6BcNYElNN,cikgu_permata62,2,,0.0,threads,2026-03-03 05:31:26 UTC
1771493528,3835888192934932676,Same here. Got about 5 years before we die of tuberculosis 🥲,tuberculosis,https://www.threads.com/@jarretperren/post/DU7z_zyAHDE,jarretperren,2,,0.0,threads,2026-03-03 05:31:41 UTC
1772288795,3842559377665103929,"Just spoke with my CDC sources. They said that RFK Jr. has ordered officials to hide tuberculosis cases in Maine after 10 active cases tested positive. RFK Jr. is hiding emerging disease outbreaks. Pandemics are born in silence and secrecy. I report on bird flu, COVID-19, TB, and other emerging threats straight from the frontline. I need your support. Please follow my page and help spread the truth.",tuberculosis,https://www.threads.com/@sars_cov.2_covid_19/post/DVTg2UuExg5,sars_cov.2_covid_19,6716,,1086.0,threads,2026-03-03 05:31:43 UTC
1772492404,3844267374103292767,"There was a time when American Girl dolls taught us about perseverance, tuberculosis, child labor, and the quiet strength of a pioneer woman who churned butter without a Stanley cup in sight. But what would these dolls actually be up to today if we let them age (something we barely let real women do)? At the link in bio, we deliver a comprehensive life update on your favorite American Girls: who owns property, who has a podcast, and who absolutely should not.",tuberculosis,https://www.threads.com/@betches/post/DVZlM8XDOtf,betches,10,,0.0,threads,2026-03-03 05:31:45 UTC
1768494597,3810731337782942019,A patient with HIV develops pulmonary tuberculosis. Why?,tuberculosis,https://www.threads.com/@drhenalodhia/post/DTib_YrAFlD,drhenalodhia,207,,17.0,threads,2026-03-03 05:31:48 UTC
1743671786,3602502506042891340,"Which disease is often called the ""silent killer"" because it has no obvious symptoms? A) Diabetes B) High blood pressure C) Tuberculosis D) Kidney stones",tuberculosis,https://www.threads.com/@dr.galen_org/post/DH-qPE_JBxM,dr.galen_org,41,,1.0,threads,2026-03-03 05:31:51 UTC
1772333118,3842931184410509990,"Pc gaming untuk dijual urgent, need money for clear my debts:), harga murah saja dapat fullset, sesuai untuk stream/gaming Spec pc :- - GPU RX7600 - CPU RYZEN 5 5500 - SSD 1TB NVME PCIE - AMD STOCK COOLER - INVASION D-1000 3 FAN ARGB - AIGO 550W 80 PLUS - RAM 32gb DDR4 3200MHZ HEATSINK BLACK - MSI A520M MOTHERBOARD Dapat sekali:- - MOUSE = ATTACK SHARK X11 - KEYBOARD = MADLION 68 MAGNETIC - GLASSPAD - WIRELESS WIFI USB - EARPHONE = PLEXTONE G20 MARK IV BLACK - MICROPHONE = SEMNLAN LM20 DYNAMIC",tb,https://www.threads.com/@zapey_/post/DVU1Y0vD0Km,zapey_,37,,0.0,threads,2026-03-03 05:32:26 UTC
1772372063,3843257885744296128,"INI MURAH BANGET DI JAMIN WTS The ULTIMATE TOUR X is a diamond-shaped racket for casual to advanced players seeking a versatile mix of control and power. Racket Weight: 355 (+- 10gr) Pemberat: 8 gr Material: HES Carbon 8K Shape: Diamond Balance: Medium Foam: Medium Surface: Rough Sandy Level: Intermediate-Advanced yang tau tau aja barang nya mulus di jamin cuma mau COD ajaaa yaaa liat langsung barangnya cocok sama barang, langsung transfer di tempat cod jaksel Republic Padel tb simatupang",tb,https://www.threads.com/@ichaatamaraa_/post/DVV_q9EAfDA,ichaatamaraa_,5,,0.0,threads,2026-03-03 05:32:27 UTC
